County,incidence_rate,fatality_rate,population,Black,Education,Poverty,Income,Unemployment,Older_adults,uninsured,total_hospitals,national_rankings,hospital_land,hospital_10k,Food_store,food_store_land,food_retail_1k,food_insecurity,Google_trend,Diabetes_prev,Hypertension_prev,land_area,life_exp
Albany County,0.00223693,0.04803493,307117,0.124,0.416,0.12,47169,0.037,40840,0.026,5,2,0.01,1.62804404,503,0.96213,1.63781,0.12,180.96,0.09,0.36,522.8,80.1
Allegany County,0.00064613,0.06666667,46430,0.014,0.205,0.17,32076,0.056,7163,0.081,2,0,0.002,4.30755977,69,0.06704,1.48611,0.12,0,0.11,0.421,1029.31,78.5
Bronx County,0.02050928,0.06931772,1432132,0.43,0.2,0.29,31161,0.057,147488,0.082,7,1,0.166,0.48878176,2577,61.2114,1.79942,0.16,0,0.13,0.323,42.1,80.4
Broome County,0.0010383,0.05025126,191659,0.047,0.287,0.17,36057,0.049,32501,0.037,2,0,0.003,1.04352,277,0.39248,1.44528,0.13,294.71,0.11,0.363,705.77,78.5
Cattaraugus County,0.00044248,0,76840,0.014,0.192,0.17,34436,0.053,12519,0.07,1,0,0.001,1.30140552,103,0.07873,1.34045,0.13,0,0.13,0.385,1308.35,77.8
Cayuga County,0.00046665,0.02777778,77145,0.042,0.235,0.12,38614,0.045,11878,0.034,1,0,0.001,1.29626029,102,0.14749,1.32219,0.11,57.6,0.11,0.344,691.58,79.5
Chautauqua County,0.00019541,0.04,127939,0.026,0.221,0.19,32444,0.05,21737,0.065,5,0,0.005,3.90811246,194,0.18298,1.51635,0.12,79.63,0.12,0.371,1060.23,77.5
Chemung County,0.00086643,0.02739726,84254,0.063,0.249,0.15,37043,0.047,13744,0.031,2,1,0.005,2.37377454,121,0.29704,1.43613,0.13,90,0.11,0.386,407.35,77.2
Chenango County,0.00164086,0,47536,0.013,0.185,0.14,34536,0.047,8348,0.053,1,0,0.001,2.1036688,70,0.07834,1.47257,0.11,0,0.11,0.38,893.55,77.3
Clinton County,0.00063201,0.05882353,80695,0.038,0.245,0.15,38510,0.044,11087,0.032,1,0,0.001,1.23923415,152,0.14646,1.88364,0.12,7.8,0.11,0.345,1037.85,79.7
Columbia County,0.00185259,0.13513514,59916,0.05,0.318,0.12,38562,0.033,10785,0.052,1,0,0.002,1.66900327,145,0.22845,2.42005,0.09,0,0.09,0.304,634.71,79.3
Cortland County,0.00052276,0,47823,0.017,0.271,0.16,38172,0.051,6274,0.048,1,0,0.002,2.09104406,76,0.15238,1.58919,0.12,0,0.11,0.303,498.76,77.9
Delaware County,0.00110046,0.08163265,44527,0.018,0.221,0.16,32328,0.048,8861,0.071,4,0,0.003,8.9833135,103,0.07141,2.3132,0.12,45.64,0.1,0.33,1442.44,79.8
Dutchess County,0.00777617,0.02232925,293718,0.105,0.362,0.09,46372,0.037,38858,0.043,3,1,0.004,1.02138786,401,0.504,1.36526,0.09,0,0.1,0.309,795.63,81.1
Erie County,0.00229309,0.06922712,919719,0.135,0.34,0.15,41034,0.044,144021,0.032,10,4,0.01,1.08728862,1281,1.22855,1.39282,0.13,821.92,0.11,0.328,1042.69,78.3
Essex County,0.00053619,0,37300,0.031,0.293,0.1,32954,0.049,6424,0.052,2,0,0.001,5.3619303,113,0.06298,3.02949,0.1,9.9,0.1,0.372,1794.23,80.4
Franklin County,0.00025849,0,50293,0.07,0.216,0.18,37521,0.052,6901,0.073,2,0,0.001,3.97669656,78,0.04788,1.55091,0.13,0,0.12,0.361,1629.12,78.7
Fulton County,0.00050382,0,53591,0.02,0.179,0.16,34735,0.051,8823,0.072,1,0,0.002,1.86598496,73,0.14733,1.36217,0.12,0,0.11,0.368,495.47,78.3
Genesee County,0.00206917,0.01680672,57511,0.027,0.217,0.11,37143,0.042,9444,0.051,1,0,0.002,1.7387978,79,0.16026,1.37365,0.11,83.6,0.13,0.377,492.94,78.8
Greene County,0.00181087,0.02325581,47491,0.063,0.233,0.13,36075,0.045,7785,0.057,0,0,0,0,87,0.13443,1.83193,0.1,0,0.1,0.398,647.16,78.9
Hamilton County,0.00067659,0,4434,0.007,0.193,0.07,33982,0.068,1066,0.116,0,0,0,0,23,0.01339,5.18719,0.1,0,0.11,0.378,1717.37,80.2
Herkimer County,0.00079246,0.02040816,61833,0.012,0.212,0.15,35335,0.049,10265,0.066,1,0,0.001,1.61725939,81,0.05739,1.30998,0.12,0,0.12,0.384,1411.47,78.4
Jefferson County,0.0004832,0,111755,0.053,0.228,0.14,35324,0.056,13946,0.061,3,0,0.002,2.68444365,191,0.15056,1.7091,0.13,93.05,0.12,0.443,1268.59,78.7
Kings County (Brooklyn),0.01433699,0.07304888,2582830,0.367,0.366,0.21,41099,0.042,300114,0.067,14,2,0.198,0.54204109,5108,72.12652,1.97768,0.17,0,0.1,0.312,70.82,82.4
Lewis County,0.0003403,0,26447,0.01,0.164,0.14,36592,0.055,3888,0.078,1,0,0.001,3.7811472,37,0.02903,1.39902,0.11,0,0.11,0.275,1274.68,79.5
Livingston County,0.00061683,0.05128205,63227,0.031,0.267,0.14,40640,0.043,8236,0.031,1,0,0.002,1.5816028,80,0.12663,1.26528,0.11,0,0.11,0.293,631.76,80.4
Madison County,0.00149728,0.02830189,70795,0.018,0.271,0.1,39459,0.048,9585,0.052,2,0,0.003,2.82505827,89,0.13591,1.25715,0.1,120.26,0.1,0.308,654.84,80.3
Monroe County,0.00141958,0.05787476,742474,0.148,0.379,0.15,40579,0.043,101855,0.03,5,3,0.008,0.67342425,898,1.36638,1.20947,0.12,781,0.09,0.36,657.21,80
Montgomery County,0.00070771,0.02857143,49455,0.022,0.176,0.2,34448,0.051,8409,0.082,2,0,0.005,4.04408048,104,0.25804,2.10292,0.12,45.59,0.11,0.326,403.04,77.7
Nassau County,0.02258413,0.05140659,1358343,0.113,0.455,0.06,57312,0.035,206727,0.039,12,5,0.042,0.8834293,1443,5.06814,1.06232,0.05,0,0.09,0.313,284.72,82.8
New York County (Manhattan),0.0113391,0.06416504,1628701,0.183,0.611,0.17,64658,0.037,207637,0.052,15,4,0.657,0.92097936,2732,119.6671,1.67741,0.13,710.14,0.07,0.212,22.83,84.5
Niagara County,0.00121179,0.03529412,210433,0.068,0.239,0.14,39932,0.052,33290,0.025,5,0,0.01,2.37605319,284,0.54369,1.3496,0.12,227.92,0.12,0.339,522.36,77.6
Oneida County,0.00121528,0.01433692,229577,0.064,0.254,0.16,36796,0.044,37603,0.035,3,1,0.002,1.30675111,335,0.2763,1.45921,0.12,223.17,0.13,0.327,1212.43,78.5
Onondaga County,0.00110219,0.043222,461809,0.104,0.358,0.15,42274,0.04,64282,0.032,4,2,0.005,0.86615895,645,0.82863,1.39668,0.12,389.7,0.1,0.34,778.39,79.3
Ontario County,0.00064625,0.02816901,109864,0.026,0.348,0.1,41231,0.039,16069,0.03,3,0,0.005,2.7306488,150,0.23289,1.36532,0.09,163,0.11,0.324,644.07,80
Orange County,0.01697076,0.02545511,381951,0.111,0.301,0.12,46727,0.039,39975,0.052,5,0,0.006,1.30906844,515,0.63448,1.34834,0.09,39.48,0.11,0.332,811.69,80.2
Orleans County,0.00113267,0.02173913,40612,0.074,0.17,0.14,35138,0.049,6003,0.064,1,0,0.003,2.46232641,59,0.15079,1.45277,0.12,0,0.15,0.385,391.26,77.8
Oswego County,0.00040713,0.10416667,117898,0.011,0.187,0.18,36640,0.055,14920,0.045,1,0,0.001,0.84819081,145,0.15237,1.22988,0.13,90,0.12,0.354,951.65,78
Otsego County,0.0008201,0.08163265,59749,0.023,0.31,0.15,35060,0.043,9954,0.064,2,0,0.002,3.34733636,96,0.09584,1.60672,0.11,11.55,0.09,0.315,1001.7,79.5
Putnam County,0.00605711,0.05843072,98892,0.033,0.405,0.05,54064,0.037,11835,0.036,1,0,0.004,1.01120414,101,0.43854,1.02132,0.05,0,0.07,0.236,230.31,81.7
