,test_date,county,new_positives,cumulative_number_of_positives,total_number_of_tests,cumulative_number_of_tests,total_population,population_over_65,population_over_80,"Diabetes prevalence (current, type I, II) (%)",test_positive_percentage,County_x,Poverty_rate,Race - White,Race-African American ,Race-Hispanic/Latino,Education-Bacehlors_or_Higher,No_Health_Insurance_Percentage,Median_income,County_y,Land_area_Square_mi,person_per_square_mile,test_case_per_person_per_square_mile,testing_per_person
0,4/18/20,Albany,34,682,305,7032,307117,40840.00,6641.00,9%,0.002220652,Albany,12,8.2,28.2,28.7,41.6,21.5,47169,Albany,522.8,587.4464422,1.160956899,0.022896811
1,4/17/20,Albany,29,648,291,6727,307117,40840.00,6641.00,9%,0.002109945,Albany,12,8.2,28.2,28.7,41.6,21.5,47169,Albany,522.8,587.4464422,1.103079282,0.021903704
2,4/16/20,Albany,38,619,273,6436,307117,40840.00,6641.00,9%,0.002015519,Albany,12,8.2,28.2,28.7,41.6,21.5,47169,Albany,522.8,587.4464422,1.05371308,0.020956183
3,4/15/20,Albany,33,581,301,6163,307117,40840.00,6641.00,9%,0.001891787,Albany,12,8.2,28.2,28.7,41.6,21.5,47169,Albany,522.8,587.4464422,0.989026332,0.020067271
4,4/14/20,Albany,13,548,106,5862,307117,40840.00,6641.00,9%,0.001784336,Albany,12,8.2,28.2,28.7,41.6,21.5,47169,Albany,522.8,587.4464422,0.932850998,0.019087188
5,4/13/20,Albany,36,535,216,5756,307117,40840.00,6641.00,9%,0.001742007,Albany,12,8.2,28.2,28.7,41.6,21.5,47169,Albany,522.8,587.4464422,0.910721321,0.018742043
6,4/12/20,Albany,21,499,193,5540,307117,40840.00,6641.00,9%,0.001624788,Albany,12,8.2,28.2,28.7,41.6,21.5,47169,Albany,522.8,587.4464422,0.849439139,0.018038728
7,4/11/20,Albany,32,478,223,5347,307117,40840.00,6641.00,9%,0.00155641,Albany,12,8.2,28.2,28.7,41.6,21.5,47169,Albany,522.8,587.4464422,0.813691199,0.017410303
8,4/10/20,Albany,20,446,159,5124,307117,40840.00,6641.00,9%,0.001452215,Albany,12,8.2,28.2,28.7,41.6,21.5,47169,Albany,522.8,587.4464422,0.759218148,0.016684195
9,4/9/20,Albany,47,426,332,4965,307117,40840.00,6641.00,9%,0.001387094,Albany,12,8.2,28.2,28.7,41.6,21.5,47169,Albany,522.8,587.4464422,0.725172491,0.016166477
10,4/8/20,Albany,37,379,229,4633,307117,40840.00,6641.00,9%,0.001234057,Albany,12,8.2,28.2,28.7,41.6,21.5,47169,Albany,522.8,587.4464422,0.645165198,0.015085456
11,4/7/20,Albany,9,342,74,4404,307117,40840.00,6641.00,9%,0.001113582,Albany,12,8.2,28.2,28.7,41.6,21.5,47169,Albany,522.8,587.4464422,0.582180732,0.014339812
12,4/6/20,Albany,14,333,86,4330,307117,40840.00,6641.00,9%,0.001084277,Albany,12,8.2,28.2,28.7,41.6,21.5,47169,Albany,522.8,587.4464422,0.566860187,0.014098861
13,4/5/20,Albany,14,319,89,4244,307117,40840.00,6641.00,9%,0.001038692,Albany,12,8.2,28.2,28.7,41.6,21.5,47169,Albany,522.8,587.4464422,0.543028227,0.013818838
14,4/4/20,Albany,12,305,117,4155,307117,40840.00,6641.00,9%,0.000993107,Albany,12,8.2,28.2,28.7,41.6,21.5,47169,Albany,522.8,587.4464422,0.519196267,0.013529046
15,4/3/20,Albany,26,293,123,4038,307117,40840.00,6641.00,9%,0.000954034,Albany,12,8.2,28.2,28.7,41.6,21.5,47169,Albany,522.8,587.4464422,0.498768873,0.013148084
16,4/2/20,Albany,14,267,105,3915,307117,40840.00,6641.00,9%,0.000869376,Albany,12,8.2,28.2,28.7,41.6,21.5,47169,Albany,522.8,587.4464422,0.454509519,0.012747585
17,4/1/20,Albany,13,253,106,3810,307117,40840.00,6641.00,9%,0.00082379,Albany,12,8.2,28.2,28.7,41.6,21.5,47169,Albany,522.8,587.4464422,0.430677559,0.012405696
18,3/31/20,Albany,14,240,108,3704,307117,40840.00,6641.00,9%,0.000781461,Albany,12,8.2,28.2,28.7,41.6,21.5,47169,Albany,522.8,587.4464422,0.408547882,0.01206055
19,3/30/20,Albany,9,226,72,3596,307117,40840.00,6641.00,9%,0.000735876,Albany,12,8.2,28.2,28.7,41.6,21.5,47169,Albany,522.8,587.4464422,0.384715923,0.011708893
